2025-01-05 15:38:50 Thread: [ReadAndMovePool-thread-1] (ID: 51) INFO - File(s) has/have been moved; Remaining unclassified images: 708
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-2] (ID: 53) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-1] (ID: 52) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-3] (ID: 54) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-2] (ID: 53) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-1] (ID: 52) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-3] (ID: 54) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:39:31 Thread: [ReadAndMovePool-thread-2] (ID: 53) INFO - File(s) has/have been moved; Remaining unclassified images: 701
2025-01-05 15:41:56 Thread: [ReadAndMovePool-thread-3] (ID: 57) INFO - File(s) has/have been moved; Remaining unclassified images: 697
2025-01-05 15:41:56 Thread: [ReadAndMovePool-thread-1] (ID: 55) INFO - File(s) has/have been moved; Remaining unclassified images: 697
2025-01-05 15:41:56 Thread: [ReadAndMovePool-thread-2] (ID: 56) INFO - File(s) has/have been moved; Remaining unclassified images: 697
2025-01-05 15:41:56 Thread: [ReadAndMovePool-thread-3] (ID: 57) INFO - File(s) has/have been moved; Remaining unclassified images: 697
2025-01-05 15:43:41 Thread: [ReadAndMovePool-thread-3] (ID: 64) INFO - File(s) has/have been moved; Remaining unclassified images: 692
2025-01-05 15:43:41 Thread: [ReadAndMovePool-thread-1] (ID: 62) INFO - File(s) has/have been moved; Remaining unclassified images: 692
2025-01-05 15:43:41 Thread: [ReadAndMovePool-thread-2] (ID: 63) INFO - File(s) has/have been moved; Remaining unclassified images: 692
2025-01-05 15:43:41 Thread: [ReadAndMovePool-thread-3] (ID: 64) INFO - File(s) has/have been moved; Remaining unclassified images: 692
2025-01-05 15:43:41 Thread: [ReadAndMovePool-thread-2] (ID: 63) INFO - File(s) has/have been moved; Remaining unclassified images: 692
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-3] (ID: 67) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-3] (ID: 67) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-3] (ID: 67) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-3] (ID: 67) INFO - File(s) has/have been moved; Remaining unclassified images: 671
2025-01-05 15:45:01 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 671
